CREATING JOB - 1, WITH DURATION - 4 SECONDS, NUMBER OF PHASES - 3
*CPU RUNNING JOB - 1, WAITING FOR - 4 SECONDS, CUR PHASE - 0 
CREATING JOB - 2, WITH DURATION - 10 SECONDS, NUMBER OF PHASES - 1
*CPU RUNNING JOB - 2, WAITING FOR - 10 SECONDS, CUR PHASE - 0 
CREATING JOB - 3, WITH DURATION - 2 SECONDS, NUMBER OF PHASES - 4
*CPU RUNNING JOB - 3, WAITING FOR - 2 SECONDS, CUR PHASE - 0 
CREATING JOB - 4, WITH DURATION - 9 SECONDS, NUMBER OF PHASES - 5
*CPU RUNNING JOB - 4, WAITING FOR - 9 SECONDS, CUR PHASE - 0 
%JOB - 3 TO FINISHED FROM CPU
**IO RUNNING JOB - 3, WAITING FOR 10 SECONDS, CUR PHASE - 1 
CREATING JOB - 5, WITH DURATION - 10 SECONDS, NUMBER OF PHASES - 1
*CPU RUNNING JOB - 5, WAITING FOR - 10 SECONDS, CUR PHASE - 0 
CREATING JOB - 6, WITH DURATION - 6 SECONDS, NUMBER OF PHASES - 3
*CPU RUNNING JOB - 6, WAITING FOR - 6 SECONDS, CUR PHASE - 0 
CREATING JOB - 7, WITH DURATION - 4 SECONDS, NUMBER OF PHASES - 3
*CPU RUNNING JOB - 7, WAITING FOR - 4 SECONDS, CUR PHASE - 0 
CREATING JOB - 8, WITH DURATION - 6 SECONDS, NUMBER OF PHASES - 1
*CPU RUNNING JOB - 8, WAITING FOR - 6 SECONDS, CUR PHASE - 0 
%JOB - 1 TO FINISHED FROM CPU
**IO RUNNING JOB - 1, WAITING FOR 5 SECONDS, CUR PHASE - 1 
CREATING JOB - 9, WITH DURATION - 2 SECONDS, NUMBER OF PHASES - 5
*CPU RUNNING JOB - 9, WAITING FOR - 2 SECONDS, CUR PHASE - 0 
CREATING JOB - 10, WITH DURATION - 7 SECONDS, NUMBER OF PHASES - 5
*CPU RUNNING JOB - 10, WAITING FOR - 7 SECONDS, CUR PHASE - 0 
CREATING JOB - 11, WITH DURATION - 9 SECONDS, NUMBER OF PHASES - 4
CREATING JOB - 12, WITH DURATION - 2 SECONDS, NUMBER OF PHASES - 2
%JOB - 7 TO FINISHED FROM CPU
**IO RUNNING JOB - 7, WAITING FOR 9 SECONDS, CUR PHASE - 1 
